NCE16AU001,MA201(F), ME200(FE), HS210(F), ME230(C), CE230(C), ME201(FE), AU201(FE), AU203(F)
NCE16CS046,MA201(O), HS210(B+), CS201(A+), CS203(B), CS205(B+), CS207(B), CS231(O), CS233(A+)
NCE16CS047,MA201(B+), HS210(B+), CS201(B), CS203(B+), CS205(B), CS207(B), CS231(O), CS233(O)
NCE16CS048,MA201(B+), HS210(B+), CS201(B), CS203(C), CS205(C), CS207(F), CS231(O), CS233(A+)
NCE16CS049,MA201(O), HS210(A), CS201(B+), CS203(C), CS205(C), CS207(B), CS231(A), CS233(A+)
NCE16CS050,MA201(A+), HS210(A+), CS201(B), CS203(B+), CS205(B), CS207(B), CS231(A+), CS233(A+)
NCE16CS051,MA201(F), HS210(A), CS201(F), CS203(F), CS205(F), CS207(F), CS231(B), CS233(B+)
NCE16CS052,MA201(O), HS210(A), CS201(B+), CS203(A), CS205(B+), CS207(B), CS231(O), CS233(O)
NCE16CS053,MA201(F), HS210(B+), CS201(F), CS203(C), CS205(P), CS207(F), CS231(A+), CS233(A+)
NCE16CS055,MA201(C), HS210(B), CS201(F), CS203(F), CS205(F), CS207(Absent), CS231(B+), CS233(A)
NCE16CS056,MA201(B), HS210(A), CS201(C), CS203(B), CS205(C), CS207(F), CS231(A), CS233(A+)
NCE16CS057,MA201(B+), HS210(A), CS201(B), CS203(B+), CS205(B), CS207(B), CS231(B+), CS233(A+)
NCE16CS060,MA201(A+), HS210(B+), CS201(B), CS203(A), CS205(B), CS207(B), CS231(O), CS233(A+)
NCE16CS061,MA201(B+), HS210(B+), CS201(C), CS203(F), CS205(C), CS207(F), CS231(O), CS233(A+)
NCE16CS062,MA201(B), HS210(A), CS201(F), CS203(B), CS205(F), CS207(F), CS231(O), CS233(A+)
NCE16CS063,MA201(A+), HS210(A+), CS201(B+), CS203(C), CS205(C), CS207(B), CS231(O), CS233(B)
NCE16CS064,MA201(B+), HS210(A), CS201(C), CS203(C), CS205(C), CS207(F), CS231(A), CS233(C)
NCE16CS065,MA201(A), HS210(A+), CS201(B+), CS203(B), CS205(B), CS207(B), CS231(A+), CS233(B)
NCE16CS066,MA201(B+), HS210(A), CS201(B), CS203(C), CS205(C), CS207(B), CS231(B+), CS233(C)
NCE16CS067,MA201(B), HS210(A), CS201(F), CS203(C), CS205(C), CS207(F), CS231(A+), CS233(B+)
NCE16CS068,MA201(C), HS210(A), CS201(B), CS203(C), CS205(F), CS207(B), CS231(O), CS233(A)
NCE16CS069,MA201(C), HS210(A+), CS201(C), CS203(C), CS205(F), CS207(F), CS231(B+), CS233(B)
NCE16CS070,MA201(B), HS210(B+), CS201(F), CS203(F), CS205(F), CS207(Withheld), CS231(B), CS233(C)
NCE16CS071,MA201(C), HS210(B+), CS201(C), CS203(C), CS205(F), CS207(F), CS231(O), CS233(B)
NCE16CS072,MA201(F), HS210(B+), CS201(F), CS203(F), CS205(F), CS207(Absent), CS231(A), CS233(A+)
NCE16CS073,MA201(F), HS210(B), CS201(F), CS203(P), CS205(F), CS207(Absent), CS231(B+), CS233(C)
NCE16CS074,MA201(B+), HS210(O), CS201(B+), CS203(B+), CS205(B), CS207(B), CS231(O), CS233(B+)
NCE16CS075,MA201(F), HS210(B), CS201(F), CS203(F), CS205(F), CS207(F), CS231(A+), CS233(B)
NCE16CS076,MA201(B), HS210(B+), CS201(F), CS203(B), CS205(C), CS207(F), CS231(B+), CS233(B+)
NCE16CS079,MA201(B+), HS210(A), CS201(F), CS203(C), CS205(C), CS207(B), CS231(A), CS233(B+)
NCE16CS080,MA201(B+), HS210(A), CS201(B), CS203(A), CS205(C), CS207(B), CS231(O), CS233(B)
NCE16CS081,MA201(F), HS210(A), CS201(C), CS203(B), CS205(F), CS207(F), CS231(A+), CS233(B)
NCE16CS082,MA201(B), HS210(B+), CS201(B+), CS203(B+), CS205(C), CS207(C), CS231(O), CS233(A)
NCE16CS083,MA201(B+), HS210(A), CS201(F), CS203(B), CS205(F), CS207(B), CS231(O), CS233(C)
NCE16CS084,MA201(A+), HS210(A+), CS201(B+), CS203(A+), CS205(B), CS207(B), CS231(O), CS233(B+)
NCE16CS085,MA201(B+), HS210(A), CS201(B), CS203(C), CS205(C), CS207(C), CS231(A+), CS233(B+)
NCE16CS087,MA201(B), HS210(B+), CS201(B), CS203(F), CS205(C), CS207(F), CS231(O), CS233(B)
NCE16CS088,MA201(A), HS210(A+), CS201(A+), CS203(B), CS205(B+), CS207(B+), CS231(O), CS233(B+)
NCE16CS089,MA201(O), HS210(B+), CS201(A), CS203(B+), CS205(B+), CS207(B+), CS231(B+), CS233(B+)
NCE16CS090,MA201(C), HS210(B+), CS201(F), CS203(C), CS205(F), CS207(F), CS231(B+), CS233(C)
NCE16CS091,MA201(C), HS210(B+), CS201(F), CS203(C), CS205(C), CS207(F), CS231(A+), CS233(B+)
NCE16CS092,MA201(C), HS210(A), CS201(F), CS203(F), CS205(C), CS207(F), CS231(B+), CS233(B)
NCE16CS093,MA201(B+), HS210(B+), CS201(B), CS203(B), CS205(B), CS207(B), CS231(A), CS233(B+)
NCE16CS094,MA201(B), HS210(A+), CS201(B), CS203(C), CS205(B), CS207(F), CS231(B+), CS233(B)
NCE16CS095,MA201(F), HS210(B+), CS201(F), CS203(F), CS205(F), CS207(F), CS231(B+), CS233(C)
NCE16CS096,MA201(B), HS210(B+), CS201(C), CS203(C), CS205(C), CS207(F), CS231(O), CS233(B+)
NCE16CS097,MA201(A), HS210(A), CS201(B), CS203(B), CS205(C), CS207(B), CS231(A), CS233(B)
NCE16CS099,MA201(F), HS210(B+), CS201(F), CS203(F), CS205(F), CS207(F), CS231(B), CS233(B)
NCE16CS100,MA201(B+), HS210(A), CS201(C), CS203(B), CS205(C), CS207(B), CS231(A+), CS233(B+)
NCE16CS101,MA201(A), HS210(B+), CS201(B), CS203(C), CS205(C), CS207(F), CS231(A), CS233(A)
NCE16CS102,MA201(B), HS210(B), CS201(B), CS203(C), CS205(F), CS207(C), CS231(B+), CS233(C)
NCE16CS103,MA201(A+), HS210(A+), CS201(B+), CS203(B), CS205(B), CS207(B+), CS231(O), CS233(B+)
NCE16CS104,MA201(A+), HS210(O), CS201(O), CS203(B+), CS205(A+), CS207(A), CS231(O), CS233(O)
NCE16CS105,MA201(F), HS210(B+), CS201(F), CS203(C), CS205(F), CS207(F), CS231(A), CS233(B)
NCE16CS106,MA201(C), HS210(B), CS201(F), CS203(F), CS205(F), CS207(F), CS231(B), CS233(B)
NCE16CS107,MA201(B+), HS210(B), CS201(B), CS203(C), CS205(C), CS207(B), CS231(O), CS233(O)
NCE16CS108,MA201(O), HS210(A+), CS201(O), CS203(A+), CS205(B+), CS207(A+), CS231(O), CS233(O)
NCE16CS109,MA201(O), HS210(A+), CS201(A+), CS203(B+), CS205(B+), CS207(B+), CS231(O), CS233(A)
NCE16CS110,MA201(A), HS210(B), CS201(C), CS203(C), CS205(C), CS207(F), CS231(B+), CS233(B+)
NCE16CS111,MA201(C), HS210(B+), CS201(B), CS203(F), CS205(F), CS207(F), CS231(A), CS233(B)
NCE16CS112,MA201(F), HS210(B), CS201(F), CS203(F), CS205(F), CS207(F), CS231(A), CS233(C)
NCE16CS113,MA201(A+), HS210(A+), CS201(B+), CS203(B), CS205(B+), CS207(C), CS231(O), CS233(B)
NCE16CS114,MA201(B), HS210(A), CS201(B+), CS203(C), CS205(B+), CS207(F), CS231(A+), CS233(B)
NCE16CS115,MA201(F), HS210(B), CS201(F), CS203(F), CS205(F), CS207(F), CS231(B+), CS233(B)
NCE16CS116,MA201(F), HS210(A), CS201(B), CS203(F), CS205(F), CS207(F), CS231(A), CS233(C)
NCE16CS117,MA201(B), HS210(B+), CS201(F), CS203(C), CS205(C), CS207(F), CS231(A), CS233(B+)
NCE16CS118,MA201(F), HS210(F), CS201(F), CS203(F), CS205(F), CS207(F), CS231(B+), CS233(B)
NCE16CS119,MA201(B), HS210(B+), CS201(C), CS203(C), CS205(C), CS207(F), CS231(B+), CS233(B+)
NCE16CS120,MA201(F), HS210(F), CS201(F), CS203(F), CS205(F), CS207(F), CS231(B), CS233(C)
NCE16CS121,MA201(B), HS210(B+), CS201(B), CS203(C), CS205(C), CS207(C), CS231(A+), CS233(B+)
NCE16ME001,MA201(B), ME205(C), HS200(B+), CE230(A), ME201(C), ME203(B), ME210(B+), ME231(A)
NCE16ME002,MA201(F), ME205(F), HS200(F), CE230(B+), ME201(F), ME203(F), ME210(F), ME231(A)
NCE16ME003,MA201(C), ME205(F), HS200(B), CE230(B), ME201(F), ME203(C), ME210(C), ME231(B)
NCE16ME004,MA201(F), ME205(F), HS200(F), CE230(B+), ME201(F), ME203(C), ME210(F), ME231(B+)
NCE16ME005,MA201(F), ME205(F), HS200(C), CE230(B+), ME201(F), ME203(F), ME210(F), ME231(B+)
NCE16ME006,MA201(O), ME205(B+), HS200(O), CE230(O), ME201(B+), ME203(A), ME210(B+), ME231(O)
NCE16ME007,MA201(B), ME205(F), HS200(B), CE230(A+), ME201(F), ME203(C), ME210(F), ME231(A+)
NCE16ME008,MA201(C), ME205(F), HS200(C), CE230(B), ME201(F), ME203(F), ME210(P), ME231(C)
NCE16ME009,MA201(B+), ME205(C), HS200(B), CE230(A+), ME201(F), ME203(B), ME210(C), ME231(B+)
NCE16ME010,MA201(B+), ME205(F), HS200(B), CE230(A+), ME201(B), ME203(B), ME210(F), ME231(A)
NCE16ME011,MA201(F), ME205(F), HS200(C), CE230(B+), ME201(F), ME203(F), ME210(F), ME231(B+)
NCE16ME013,MA201(O), ME205(C), HS200(B+), CE230(B+), ME201(B), ME203(B+), ME210(F), ME231(A)
NCE16ME014,MA201(F), ME205(B), HS200(A), CE230(O), ME201(F), ME203(B), ME210(B), ME231(O)
NCE16ME015,MA201(B+), ME205(F), HS200(C), CE230(O), ME201(F), ME203(C), ME210(F), ME231(A)
NCE16ME016,MA201(F), ME205(F), HS200(F), CE230(A), ME201(F), ME203(F), ME210(F), ME231(B+)
NCE16ME017,MA201(A), ME205(A), HS200(A), CE230(O), ME201(A+), ME203(B+), ME210(B+), ME231(A)
NCE16ME018,MA201(F), ME205(FE), HS200(F), CE230(B), ME201(FE), ME203(FE), ME210(FE), ME231(C)
NCE16ME020,MA201(B+), ME205(C), HS200(B+), CE230(O), ME201(F), ME203(B), ME210(F), ME231(A)
NCE16ME021,MA201(C), ME205(F), HS200(C), CE230(A+), ME201(F), ME203(F), ME210(B), ME231(B)
NCE16ME022,MA201(C), ME205(B), HS200(B), CE230(B+), ME201(F), ME203(B), ME210(B), ME231(B+)
NCE16ME023,MA201(C), ME205(F), HS200(B), CE230(B+), ME201(F), ME203(F), ME210(F), ME231(B+)
NCE16ME024,MA201(F), ME205(F), HS200(C), CE230(B+), ME201(F), ME203(C), ME210(F), ME231(A)
NCE16ME025,MA201(C), ME205(B), HS200(B), CE230(O), ME201(F), ME203(B+), ME210(F), ME231(B)
NCE16ME026,MA201(B), ME205(F), HS200(F), CE230(B+), ME201(F), ME203(C), ME210(F), ME231(B)
NCE16ME027,MA201(F), ME205(F), HS200(F), CE230(O), ME201(F), ME203(F), ME210(F), ME231(B+)
NCE16ME028,MA201(C), ME205(F), HS200(F), CE230(A), ME201(F), ME203(F), ME210(F), ME231(B+)
NCE16ME029,MA201(C), ME205(F), HS200(F), CE230(A), ME201(F), ME203(F), ME210(F), ME231(B+)
NCE16ME030,MA201(C), ME205(F), HS200(F), CE230(A+), ME201(F), ME203(F), ME210(F), ME231(A)
NCE16ME031,MA201(B+), ME205(B), HS200(B), CE230(A+), ME201(F), ME203(B), ME210(B), ME231(O)
NCE16ME032,MA201(C), ME205(F), HS200(F), CE230(B+), ME201(F), ME203(C), ME210(F), ME231(B+)
NCE16ME033,MA201(F), ME205(F), HS200(B), CE230(B+), ME201(F), ME203(F), ME210(F), ME231(B)
NCE16ME034,MA201(F), ME205(F), HS200(C), CE230(B+), ME201(F), ME203(F), ME210(F), ME231(B+)
NCE16ME035,MA201(F), ME205(F), HS200(C), CE230(A), ME201(F), ME203(F), ME210(F), ME231(A)
NCE16ME036,MA201(B+), ME205(B), HS200(B+), CE230(A+), ME201(F), ME203(B+), ME210(B), ME231(B+)
NCE16ME038,MA201(B+), ME205(B), HS200(B+), CE230(A+), ME201(B), ME203(B), ME210(F), ME231(A)
NCE16ME039,MA201(F), ME205(F), HS200(B), CE230(A), ME201(F), ME203(C), ME210(F), ME231(B+)
NCE16ME041,MA201(C), ME205(F), HS200(F), CE230(C), ME201(F), ME203(FE), ME210(F), ME231(C)
NCE16ME042,MA201(B+), ME205(B), HS200(B+), CE230(A+), ME201(F), ME203(B+), ME210(B), ME231(A)
NCE16ME043,MA201(B+), ME205(F), HS200(B), CE230(A), ME201(F), ME203(C), ME210(F), ME231(B+)
NCE16ME044,MA201(F), ME205(F), HS200(B+), CE230(A+), ME201(F), ME203(C), ME210(F), ME231(A+)
NCE16ME045,MA201(B), ME205(F), HS200(B), CE230(O), ME201(C), ME203(C), ME210(F), ME231(A)
NCE16ME046,MA201(B), ME205(B), HS200(B+), CE230(O), ME201(B+), ME203(A), ME210(C), ME231(A)
NCE16ME047,MA201(C), ME205(B), HS200(B+), CE230(A), ME201(B), ME203(B), ME210(B), ME231(A)
NCE16ME048,MA201(B+), ME205(B), HS200(A+), CE230(A), ME201(B), ME203(B), ME210(B), ME231(A+)
NCE16ME049,MA201(A), ME205(B), HS200(A+), CE230(O), ME201(B+), ME203(B+), ME210(B), ME231(A+)
NCE16ME050,MA201(B+), ME205(C), HS200(A), CE230(A), ME201(B), ME203(B+), ME210(C), ME231(A)
NCE16ME051,MA201(F), ME205(F), HS200(F), CE230(A), ME201(F), ME203(C), ME210(F), ME231(B+)
NCE16ME052,MA201(C), ME205(C), HS200(B), CE230(B), ME201(F), ME203(F), ME210(C), ME231(B+)
NCE16ME053,MA201(F), ME205(F), HS200(F), CE230(A), ME201(F), ME203(F), ME210(F), ME231(A)
NCE16ME054,MA201(A), ME205(B+), HS200(A+), CE230(O), ME201(B+), ME203(B+), ME210(B), ME231(A)
NCE16ME055,MA201(F), ME205(F), HS200(C), CE230(A), ME201(F), ME203(B), ME210(F), ME231(A)
NCE16ME056,MA201(B), ME205(F), HS200(F), CE230(A+), ME201(F), ME203(F), ME210(F), ME231(B+)
NCE16ME057,MA201(C), ME205(C), HS200(B), CE230(A+), ME201(F), ME203(C), ME210(F), ME231(A)
NCE16ME058,MA201(A), ME205(B+), HS200(B+), CE230(O), ME201(B+), ME203(A+), ME210(B), ME231(A)
NCE16ME059,MA201(B), ME205(B), HS200(C), CE230(A+), ME201(F), ME203(C), ME210(F), ME231(A+)
NCE16ME061,MA201(F), ME205(F), HS200(P), CE230(B), ME201(F), ME203(F), ME210(F), ME231(C)
NCE16ME062,MA201(FE), ME205(FE), HS200(FE), CE230(FE), ME201(FE), ME203(FE), ME210(FE),
ME231(FE)
NCE16ME063,MA201(B), ME205(F), HS200(B), CE230(B), ME201(F), ME203(C), ME210(B), ME231(A)
NCE16ME064,MA201(F), ME205(F), HS200(F), CE230(B), ME201(F), ME203(C), ME210(F), ME231(C)
NCE16ME065,MA201(C), ME205(B), HS200(B), CE230(B+), ME201(C), ME203(C), ME210(C), ME231(A+)
NCE16ME066,MA201(C), ME205(B), HS200(B), CE230(B+), ME201(C), ME203(B), ME210(F), ME231(A)
NCE16ME068,MA201(C), ME205(F), HS200(C), CE230(B), ME201(B+), ME203(C), ME210(F), ME231(A)
NCE16ME069,MA201(F), ME205(C), HS200(B+), CE230(B+), ME201(F), ME203(C), ME210(F), ME231(B)
NCE16ME070,MA201(B+), ME205(B+), HS200(A), CE230(O), ME201(A), ME203(B+), ME210(F), ME231(O)
NCE16ME071,MA201(B), ME205(F), HS200(B), CE230(B), ME201(F), ME203(F), ME210(F), ME231(B+)
NCE16ME072,MA201(F), ME205(F), HS200(P), CE230(B), ME201(F), ME203(F), ME210(F), ME231(B)
NCE16ME073,MA201(B), ME205(B+), HS200(B+), CE230(B+), ME201(B), ME203(B), ME210(F), ME231(B+)
NCE16ME075,MA201(B), ME205(C), HS200(B+), CE230(A+), ME201(F), ME203(C), ME210(F), ME231(A)
NCE16ME076,MA201(F), ME205(F), HS200(C), CE230(B+), ME201(F), ME203(P), ME210(F), ME231(C)
NCE16ME077,MA201(C), ME205(F), HS200(F), CE230(B), ME201(F), ME203(F), ME210(F), ME231(B)
NCE16ME078,MA201(B), ME205(F), HS200(C), CE230(B+), ME201(C), ME203(B), ME210(F), ME231(B)
NCE16ME079,MA201(B+), ME205(B+), HS200(A), CE230(A), ME201(B), ME203(B), ME210(B), ME231(B+)
NCE16ME080,MA201(F), ME205(F), HS200(P), CE230(B), ME201(F), ME203(F), ME210(F), ME231(B)
NCE16ME081,MA201(A), ME205(B+), HS200(A), CE230(B+), ME201(B), ME203(B+), ME210(F), ME231(A+)
NCE16ME083,MA201(C), ME205(P), HS200(B), CE230(B+), ME201(F), ME203(C), ME210(F), ME231(B)
NCE16ME084,MA201(F), ME205(F), HS200(C), CE230(B), ME201(F), ME203(F), ME210(F), ME231(B+)
NCE16ME085,MA201(F), ME205(F), HS200(F), CE230(B), ME201(F), ME203(F), ME210(F), ME231(B)
NCE16ME086,MA201(B), ME205(B+), HS200(B+), CE230(A+), ME201(F), ME203(B+), ME210(B), ME231(A)
NCE16ME088,MA201(A), ME205(B+), HS200(A), CE230(B+), ME201(B), ME203(B+), ME210(B), ME231(B+)
NCE16ME089,MA201(C), ME205(F), HS200(C), CE230(B), ME201(F), ME203(P), ME210(F), ME231(C)
NCE16ME090,MA201(F), ME205(F), HS200(B+), CE230(B), ME201(F), ME203(F), ME210(F), ME231(B+)
NCE16ME091,MA201(B), ME205(C), HS200(B), CE230(B+), ME201(B), ME203(C), ME210(F), ME231(B)
NCE16ME092,MA201(C), ME205(F), HS200(B+), CE230(A+), ME201(F), ME203(B), ME210(F), ME231(B+)
NCE16ME094,MA201(C), ME205(C), HS200(F), CE230(B+), ME201(C), ME203(B), ME210(F), ME231(B+)
NCE16ME095,MA201(F), ME205(Withheld), HS200(F), CE230(B), ME201(F), ME203(Withheld),
ME210(Withheld), ME231(B)
NCE16ME096,MA201(B), ME205(F), HS200(B), CE230(A), ME201(C), ME203(C), ME210(F), ME231(O)
NCE16ME097,MA201(F), ME205(C), HS200(B), CE230(B+), ME201(C), ME203(C), ME210(F), ME231(B+)
NCE16ME098,MA201(C), ME205(Withheld), HS200(B+), CE230(A), ME201(F), ME203(Withheld),
ME210(Withheld), ME231(A)
NCE16ME099,MA201(B+), ME205(B), HS200(F), CE230(C), ME201(F), ME203(Absent), ME210(C), ME231(C)
NCE16ME100,MA201(B), ME205(F), HS200(B), CE230(B+), ME201(F), ME203(F), ME210(F), ME231(B)
NCE16ME101,MA201(B), ME205(F), HS200(C), CE230(B), ME201(C), ME203(P), ME210(F), ME231(B+)
NCE16ME102,MA201(B), ME205(B), HS200(B), CE230(A+), ME201(C), ME203(B), ME210(B), ME231(B+)
NCE16ME103,MA201(B), ME205(F), HS200(B+), CE230(B+), ME201(F), ME203(C), ME210(F), ME231(B+)
NCE16ME104,MA201(F), ME205(P), HS200(B), CE230(B+), ME201(F), ME203(C), ME210(F), ME231(B)
NCE16ME105,MA201(C), ME205(F), HS200(C), CE230(B+), ME201(F), ME203(C), ME210(F), ME231(B+)
NCE16ME106,MA201(C), ME205(F), HS200(F), CE230(B), ME201(F), ME203(F), ME210(F), ME231(C)
